hotel_name,hotel_area,poi_name,poi_category,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
Sample Hotel - Times Square,Times Square,Times Square,landmark,1.0,49 St,Times Sq-42 St,1.31,2.91,3.0,7.22,81.37
Sample Hotel - Times Square,Times Square,Central Park,park,0.95,49 St,81 St-Museum of Natural History,1.31,5.95,5.2,12.45,70.06
Sample Hotel - Times Square,Times Square,Empire State Building,landmark,0.95,49 St,34 St-Herald Sq,1.31,2.87,3.0,7.18,81.45
Sample Hotel - Times Square,Times Square,Grand Central Terminal,transportation,0.9,49 St,Grand Central-42 St,1.31,1.34,3.0,5.65,85.1
Sample Hotel - Times Square,Times Square,World Trade Center,landmark,0.9,49 St,WTC Cortlandt,1.31,1.75,11.69,14.75,65.61
Sample Hotel - Times Square,Times Square,Brooklyn Bridge,landmark,0.85,49 St,Fulton St,1.31,11.18,11.85,24.34,49.89
Sample Hotel - Times Square,Times Square,The Metropolitan Museum of Art,museum,0.85,49 St,86 St,1.31,8.01,6.49,15.81,63.66
Sample Hotel - Times Square,Times Square,SoHo,shopping,0.75,49 St,Canal St,1.31,3.51,9.04,13.86,67.3
Sample Hotel - Times Square,Times Square,Chelsea Market,food,0.7,49 St,14 St,1.31,5.0,5.16,11.47,72.06
Sample Hotel - Times Square,Times Square,Williamsburg,nightlife/food,0.65,49 St,Marcy Av,1.31,0.78,12.29,14.38,66.3
Sample Hotel - Grand Central,Midtown East,Times Square,landmark,1.0,Grand Central-42 St,Times Sq-42 St,0.35,2.91,3.0,6.26,83.63
Sample Hotel - Grand Central,Midtown East,Central Park,park,0.95,Grand Central-42 St,81 St-Museum of Natural History,0.35,5.95,6.64,12.94,69.09
Sample Hotel - Grand Central,Midtown East,Empire State Building,landmark,0.95,Grand Central-42 St,34 St-Herald Sq,0.35,2.87,3.0,6.22,83.71
Sample Hotel - Grand Central,Midtown East,Grand Central Terminal,transportation,0.9,Grand Central-42 St,Grand Central-42 St,0.35,1.34,3.0,4.69,87.47
Sample Hotel - Grand Central,Midtown East,World Trade Center,landmark,0.9,Grand Central-42 St,WTC Cortlandt,0.35,1.75,10.69,12.8,69.37
Sample Hotel - Grand Central,Midtown East,Brooklyn Bridge,landmark,0.85,Grand Central-42 St,Fulton St,0.35,11.18,10.67,22.2,53.03
Sample Hotel - Grand Central,Midtown East,The Metropolitan Museum of Art,museum,0.85,Grand Central-42 St,86 St,0.35,8.01,7.13,15.49,64.24
Sample Hotel - Grand Central,Midtown East,SoHo,shopping,0.75,Grand Central-42 St,Canal St,0.35,3.51,8.12,11.98,71.02
Sample Hotel - Grand Central,Midtown East,Chelsea Market,food,0.7,Grand Central-42 St,14 St,0.35,5.0,4.83,10.18,74.75
Sample Hotel - Grand Central,Midtown East,Williamsburg,nightlife/food,0.65,Grand Central-42 St,Marcy Av,0.35,0.78,10.18,11.31,72.39
Sample Hotel - Chelsea,Chelsea,Times Square,landmark,1.0,23 St,Times Sq-42 St,3.63,2.91,3.0,9.54,76.14
Sample Hotel - Chelsea,Chelsea,Central Park,park,0.95,23 St,81 St-Museum of Natural History,3.63,5.95,9.03,18.61,58.77
Sample Hotel - Chelsea,Chelsea,Empire State Building,landmark,0.95,23 St,34 St-Herald Sq,3.63,2.87,3.0,9.5,76.22
Sample Hotel - Chelsea,Chelsea,Grand Central Terminal,transportation,0.9,23 St,Grand Central-42 St,3.63,1.34,3.8,8.77,77.83
Sample Hotel - Chelsea,Chelsea,World Trade Center,landmark,0.9,23 St,WTC Cortlandt,3.63,1.75,7.94,13.33,68.33
Sample Hotel - Chelsea,Chelsea,Brooklyn Bridge,landmark,0.85,23 St,Fulton St,3.63,11.18,8.24,23.06,51.75
Sample Hotel - Chelsea,Chelsea,The Metropolitan Museum of Art,museum,0.85,23 St,86 St,3.63,8.01,10.34,21.98,53.36
Sample Hotel - Chelsea,Chelsea,SoHo,shopping,0.75,23 St,Canal St,3.63,3.51,5.31,12.45,70.07
Sample Hotel - Chelsea,Chelsea,Chelsea Market,food,0.7,23 St,14 St,3.63,5.0,3.0,11.63,71.73
Sample Hotel - Chelsea,Chelsea,Williamsburg,nightlife/food,0.65,23 St,Marcy Av,3.63,0.78,10.76,15.17,64.82
