hotel_name,area,lat,lon,nearest_station,walk_to_station_min,average_trip_time_to_pois_min,travel_score,top_poi_score,coverage_score,walk_score,hotel_access_score
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,40.752272,-73.993319,34 St-Penn Station,0.08,15.67,72.92,72.47,82.5,100,77.41
Ace Hotel New York,NoMad,40.745866,-73.98885,28 St,0.54,15.44,72.25,71.57,82.5,100,76.87
The Plaza Hotel,Central Park South,40.7647,-73.9746,5 Av/59 St,1.33,19.28,69.43,69.9,84.5,100,75.64
citizenM New York Bowery,Bowery / Lower East Side,40.720756,-73.993195,Bowery,1.01,14.81,66.75,65.11,85.83,100,73.4
Moxy NYC Times Square,Times Square / Herald Square,40.752697,-73.990737,34 St-Penn Station,2.85,18.44,67.37,66.95,81.67,100,73.36
New York Marriott Marquis,Times Square,40.758617,-73.986221,49 St,2.83,19.68,66.96,67.02,78.33,100,72.56
Lotte New York Palace,Midtown East,40.758108,-73.974709,5 Av/53 St,2.91,20.18,66.58,66.79,78.33,100,72.34
Arlo SoHo,SoHo / Hudson Square,40.724757,-74.006152,Canal St,2.65,16.5,63.6,62.09,85.83,100,71.23
"The Standard, High Line",Meatpacking District,40.740853,-74.007861,8 Av,5.76,20.19,61.02,60.1,81.67,100,68.77
Conrad New York Downtown,Battery Park City,40.715032,-74.015642,WTC Cortlandt,5.74,20.54,55.25,53.81,59.17,100,60.08
The William Vale,Williamsburg,40.722293,-73.956623,Nassau Av,6.5,24.02,53.66,52.73,60.83,100,59.45
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,40.695927,-73.984275,Jay St-MetroTech,5.5,22.97,50.98,49.6,57.83,100,56.84
