hotel_name,area,lat,lon,nearest_station,walk_to_station_min,average_trip_time_to_pois_min,hotel_access_score
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,40.752272,-73.993319,34 St-Penn Station,0.08,11.76,72.48
Ace Hotel New York,NoMad,40.745866,-73.98885,28 St,0.54,11.91,71.8
The Plaza Hotel,Central Park South,40.7647,-73.9746,5 Av/59 St,1.33,14.19,68.78
Moxy NYC Times Square,Times Square / Herald Square,40.752697,-73.990737,34 St-Penn Station,2.85,14.53,66.96
New York Marriott Marquis,Times Square,40.758617,-73.986221,49 St,2.83,15.04,66.62
citizenM New York Bowery,Bowery / Lower East Side,40.720756,-73.993195,Bowery,1.01,13.86,66.44
Lotte New York Palace,Midtown East,40.758108,-73.974709,5 Av/53 St,2.91,15.33,66.23
Arlo SoHo,SoHo / Hudson Square,40.724757,-74.006152,Canal St,2.65,15.65,63.24
"The Standard, High Line",Meatpacking District,40.740853,-74.007861,8 Av,5.76,17.59,60.58
Conrad New York Downtown,Battery Park City,40.715032,-74.015642,WTC Cortlandt,5.74,20.42,54.95
The William Vale,Williamsburg,40.722293,-73.956623,Nassau Av,6.5,21.57,53.67
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,40.695927,-73.984275,Jay St-MetroTech,5.5,23.02,50.83
