hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
New York Marriott Marquis,Times Square,"Cluster (7 POIs): Times Square, Empire State Building, Grand Central Terminal, Rockefeller Center, Bryant Park, Penn Station, MoMA",4.750000000000001,49 St,42 St-Bryant Pk,2.83,1.56,3.0,7.39,80.98
New York Marriott Marquis,Times Square,"Cluster (2 POIs): Central Park, The Metropolitan Museum of Art",1.6,49 St,81 St-Museum of Natural History,2.83,7.73,5.2,15.75,63.76
New York Marriott Marquis,Times Square,Statue of Liberty,1.0,49 St,South Ferry,2.83,37.22,13.79,53.83,21.48
New York Marriott Marquis,Times Square,World Trade Center,0.7,49 St,WTC Cortlandt,2.83,1.78,11.69,16.3,62.78
New York Marriott Marquis,Times Square,Brooklyn Bridge,0.65,49 St,Fulton St,2.83,11.23,11.85,25.9,47.71
New York Marriott Marquis,Times Square,Chelsea Market,0.4,49 St,14 St,2.83,5.16,5.16,13.14,68.69
New York Marriott Marquis,Times Square,Washington Square Park,0.35,49 St,W 4 St-Wash Sq,2.83,3.94,6.72,13.49,68.02
New York Marriott Marquis,Times Square,SoHo,0.3,49 St,Canal St,2.83,3.52,9.04,15.39,64.42
New York Marriott Marquis,Times Square,Williamsburg,0.25,49 St,Marcy Av,2.83,0.8,12.29,15.92,63.45
The Plaza Hotel,Central Park South,"Cluster (7 POIs): Times Square, Empire State Building, Grand Central Terminal, Rockefeller Center, Bryant Park, Penn Station, MoMA",4.750000000000001,5 Av/59 St,42 St-Bryant Pk,1.33,1.56,3.02,5.91,84.47
The Plaza Hotel,Central Park South,"Cluster (2 POIs): Central Park, The Metropolitan Museum of Art",1.6,5 Av/59 St,81 St-Museum of Natural History,1.33,7.73,3.7,12.76,69.46
The Plaza Hotel,Central Park South,Statue of Liberty,1.0,5 Av/59 St,South Ferry,1.33,37.22,15.52,54.07,21.34
The Plaza Hotel,Central Park South,World Trade Center,0.7,5 Av/59 St,WTC Cortlandt,1.33,1.78,13.48,16.59,62.26
The Plaza Hotel,Central Park South,Brooklyn Bridge,0.65,5 Av/59 St,Fulton St,1.33,11.23,13.53,26.09,47.46
The Plaza Hotel,Central Park South,Chelsea Market,0.4,5 Av/59 St,14 St,1.33,5.16,7.15,13.63,67.74
The Plaza Hotel,Central Park South,Washington Square Park,0.35,5 Av/59 St,W 4 St-Wash Sq,1.33,3.94,8.55,13.82,67.38
The Plaza Hotel,Central Park South,SoHo,0.3,5 Av/59 St,Canal St,1.33,3.52,10.86,15.7,63.85
The Plaza Hotel,Central Park South,Williamsburg,0.25,5 Av/59 St,Marcy Av,1.33,0.8,12.83,14.95,65.23
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,"Cluster (7 POIs): Times Square, Empire State Building, Grand Central Terminal, Rockefeller Center, Bryant Park, Penn Station, MoMA",4.750000000000001,34 St-Penn Station,42 St-Bryant Pk,0.08,1.56,3.0,4.64,87.59
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,"Cluster (2 POIs): Central Park, The Metropolitan Museum of Art",1.6,34 St-Penn Station,81 St-Museum of Natural History,0.08,7.73,7.4,15.21,64.76
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Statue of Liberty,1.0,34 St-Penn Station,South Ferry,0.08,37.22,11.68,48.98,24.68
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,World Trade Center,0.7,34 St-Penn Station,WTC Cortlandt,0.08,1.78,9.54,11.4,72.21
