hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
New York Marriott Marquis,Times Square,Statue of Liberty,1.0,49 St,South Ferry,2.83,37.22,13.79,53.83,21.48
New York Marriott Marquis,Times Square,Times Square,0.95,49 St,Times Sq-42 St,2.83,0.57,3.0,6.4,83.3
New York Marriott Marquis,Times Square,Empire State Building,0.9,49 St,34 St-Herald Sq,2.83,2.82,3.0,8.64,78.12
New York Marriott Marquis,Times Square,Central Park,0.85,49 St,81 St-Museum of Natural History,2.83,5.95,5.2,13.97,67.09
New York Marriott Marquis,Times Square,Grand Central Terminal,0.8,49 St,Grand Central-42 St,2.83,1.31,3.0,7.14,81.56
New York Marriott Marquis,Times Square,The Metropolitan Museum of Art,0.75,49 St,86 St,2.83,8.22,6.49,17.54,60.59
New York Marriott Marquis,Times Square,World Trade Center,0.7,49 St,WTC Cortlandt,2.83,1.78,11.69,16.3,62.78
New York Marriott Marquis,Times Square,Brooklyn Bridge,0.65,49 St,Fulton St,2.83,11.23,11.85,25.9,47.71
New York Marriott Marquis,Times Square,Rockefeller Center,0.6,49 St,47-50 Sts-Rockefeller Ctr,2.83,2.8,3.0,8.62,78.16
New York Marriott Marquis,Times Square,Bryant Park,0.55,49 St,5 Av,2.83,1.37,3.0,7.2,81.41
New York Marriott Marquis,Times Square,Penn Station,0.5,49 St,34 St-Penn Station,2.83,2.39,3.0,8.22,79.07
New York Marriott Marquis,Times Square,MoMA,0.45,49 St,5 Av/53 St,2.83,3.08,3.0,8.9,77.54
New York Marriott Marquis,Times Square,Chelsea Market,0.4,49 St,14 St,2.83,5.16,5.16,13.14,68.69
New York Marriott Marquis,Times Square,Washington Square Park,0.35,49 St,W 4 St-Wash Sq,2.83,3.94,6.72,13.49,68.02
New York Marriott Marquis,Times Square,SoHo,0.3,49 St,Canal St,2.83,3.52,9.04,15.39,64.42
New York Marriott Marquis,Times Square,Williamsburg,0.25,49 St,Marcy Av,2.83,0.8,12.29,15.92,63.45
The Plaza Hotel,Central Park South,Statue of Liberty,1.0,5 Av/59 St,South Ferry,1.33,37.22,15.52,54.07,21.34
The Plaza Hotel,Central Park South,Times Square,0.95,5 Av/59 St,Times Sq-42 St,1.33,0.57,3.0,4.9,86.94
The Plaza Hotel,Central Park South,Empire State Building,0.9,5 Av/59 St,34 St-Herald Sq,1.33,2.82,4.15,8.29,78.9
The Plaza Hotel,Central Park South,Central Park,0.85,5 Av/59 St,81 St-Museum of Natural History,1.33,5.95,3.7,10.98,73.08
The Plaza Hotel,Central Park South,Grand Central Terminal,0.8,5 Av/59 St,Grand Central-42 St,1.33,1.31,3.0,5.64,85.12
The Plaza Hotel,Central Park South,The Metropolitan Museum of Art,0.75,5 Av/59 St,86 St,1.33,8.22,4.43,13.98,67.07
The Plaza Hotel,Central Park South,World Trade Center,0.7,5 Av/59 St,WTC Cortlandt,1.33,1.78,13.48,16.59,62.26
The Plaza Hotel,Central Park South,Brooklyn Bridge,0.65,5 Av/59 St,Fulton St,1.33,11.23,13.53,26.09,47.46
The Plaza Hotel,Central Park South,Rockefeller Center,0.6,5 Av/59 St,47-50 Sts-Rockefeller Ctr,1.33,2.8,3.0,7.13,81.58
The Plaza Hotel,Central Park South,Bryant Park,0.55,5 Av/59 St,5 Av,1.33,1.37,3.0,5.7,84.97
The Plaza Hotel,Central Park South,Penn Station,0.5,5 Av/59 St,34 St-Penn Station,1.33,2.39,4.38,8.1,79.34
The Plaza Hotel,Central Park South,MoMA,0.45,5 Av/59 St,5 Av/53 St,1.33,3.08,3.0,7.41,80.93
The Plaza Hotel,Central Park South,Chelsea Market,0.4,5 Av/59 St,14 St,1.33,5.16,7.15,13.63,67.74
The Plaza Hotel,Central Park South,Washington Square Park,0.35,5 Av/59 St,W 4 St-Wash Sq,1.33,3.94,8.55,13.82,67.38
The Plaza Hotel,Central Park South,SoHo,0.3,5 Av/59 St,Canal St,1.33,3.52,10.86,15.7,63.85
The Plaza Hotel,Central Park South,Williamsburg,0.25,5 Av/59 St,Marcy Av,1.33,0.8,12.83,14.95,65.23
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Statue of Liberty,1.0,34 St-Penn Station,South Ferry,0.08,37.22,11.68,48.98,24.68
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Times Square,0.95,34 St-Penn Station,Times Sq-42 St,0.08,0.57,3.0,3.65,90.1
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Empire State Building,0.9,34 St-Penn Station,34 St-Herald Sq,0.08,2.82,3.0,5.89,84.5
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Central Park,0.85,34 St-Penn Station,81 St-Museum of Natural History,0.08,5.95,7.4,13.43,68.13
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Grand Central Terminal,0.8,34 St-Penn Station,Grand Central-42 St,0.08,1.31,3.0,4.39,88.22
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,The Metropolitan Museum of Art,0.75,34 St-Penn Station,86 St,0.08,8.22,8.78,17.09,61.38
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,World Trade Center,0.7,34 St-Penn Station,WTC Cortlandt,0.08,1.78,9.54,11.4,72.21
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Brooklyn Bridge,0.65,34 St-Penn Station,Fulton St,0.08,11.23,9.79,21.09,54.73
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Rockefeller Center,0.6,34 St-Penn Station,47-50 Sts-Rockefeller Ctr,0.08,2.8,3.0,5.88,84.55
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Bryant Park,0.55,34 St-Penn Station,5 Av,0.08,1.37,3.0,4.45,88.06
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Penn Station,0.5,34 St-Penn Station,34 St-Penn Station,0.08,2.39,3.0,5.47,85.53
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,MoMA,0.45,34 St-Penn Station,5 Av/53 St,0.08,3.08,3.53,6.68,82.62
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Chelsea Market,0.4,34 St-Penn Station,14 St,0.08,5.16,3.0,8.24,79.03
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Washington Square Park,0.35,34 St-Penn Station,W 4 St-Wash Sq,0.08,3.94,4.6,8.61,78.18
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,SoHo,0.3,34 St-Penn Station,Canal St,0.08,3.52,6.9,10.49,74.09
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,Williamsburg,0.25,34 St-Penn Station,Marcy Av,0.08,0.8,11.47,12.34,70.28
Moxy NYC Times Square,Times Square / Herald Square,Statue of Liberty,1.0,34 St-Penn Station,South Ferry,2.85,37.22,11.68,51.75,22.8
Moxy NYC Times Square,Times Square / Herald Square,Times Square,0.95,34 St-Penn Station,Times Sq-42 St,2.85,0.57,3.0,6.42,83.24
Moxy NYC Times Square,Times Square / Herald Square,Empire State Building,0.9,34 St-Penn Station,34 St-Herald Sq,2.85,2.82,3.0,8.67,78.06
Moxy NYC Times Square,Times Square / Herald Square,Central Park,0.85,34 St-Penn Station,81 St-Museum of Natural History,2.85,5.95,7.4,16.2,62.94
Moxy NYC Times Square,Times Square / Herald Square,Grand Central Terminal,0.8,34 St-Penn Station,Grand Central-42 St,2.85,1.31,3.0,7.16,81.5
Moxy NYC Times Square,Times Square / Herald Square,The Metropolitan Museum of Art,0.75,34 St-Penn Station,86 St,2.85,8.22,8.78,19.86,56.7
Moxy NYC Times Square,Times Square / Herald Square,World Trade Center,0.7,34 St-Penn Station,WTC Cortlandt,2.85,1.78,9.54,14.17,66.71
Moxy NYC Times Square,Times Square / Herald Square,Brooklyn Bridge,0.65,34 St-Penn Station,Fulton St,2.85,11.23,9.79,23.87,50.56
Moxy NYC Times Square,Times Square / Herald Square,Rockefeller Center,0.6,34 St-Penn Station,47-50 Sts-Rockefeller Ctr,2.85,2.8,3.0,8.65,78.1
Moxy NYC Times Square,Times Square / Herald Square,Bryant Park,0.55,34 St-Penn Station,5 Av,2.85,1.37,3.0,7.22,81.35
Moxy NYC Times Square,Times Square / Herald Square,Penn Station,0.5,34 St-Penn Station,34 St-Penn Station,2.85,2.39,3.0,8.25,79.01
Moxy NYC Times Square,Times Square / Herald Square,MoMA,0.45,34 St-Penn Station,5 Av/53 St,2.85,3.08,3.53,9.46,76.32
Moxy NYC Times Square,Times Square / Herald Square,Chelsea Market,0.4,34 St-Penn Station,14 St,2.85,5.16,3.0,11.01,73.01
Moxy NYC Times Square,Times Square / Herald Square,Washington Square Park,0.35,34 St-Penn Station,W 4 St-Wash Sq,2.85,3.94,4.6,11.39,72.23
Moxy NYC Times Square,Times Square / Herald Square,SoHo,0.3,34 St-Penn Station,Canal St,2.85,3.52,6.9,13.27,68.45
