hotel_name,area,lat,lon
New York Marriott Marquis,Times Square,40.758617,-73.986221
The Plaza Hotel,Central Park South,40.7647,-73.9746
"The New Yorker, A Wyndham Hotel",Penn Station / Midtown West,40.752272,-73.993319
Moxy NYC Times Square,Times Square / Herald Square,40.752697,-73.990737
Ace Hotel New York,NoMad,40.745866,-73.98885
Lotte New York Palace,Midtown East,40.758108,-73.974709
Conrad New York Downtown,Battery Park City,40.715032,-74.015642
"The Standard, High Line",Meatpacking District,40.740853,-74.007861
Arlo SoHo,SoHo / Hudson Square,40.724757,-74.006152
citizenM New York Bowery,Bowery / Lower East Side,40.720756,-73.993195
The William Vale,Williamsburg,40.722293,-73.956623
Hampton Inn Brooklyn Downtown,Downtown Brooklyn,40.695927,-73.984275
