poi_name,lat,lon,weight
Statue of Liberty,40.689211,-74.044643,1.0
Times Square,40.75636,-73.98644,0.95
Empire State Building,40.748817,-73.985428,0.9
Central Park,40.7812,-73.9665,0.85
Grand Central Terminal,40.752655,-73.977295,0.8
The Metropolitan Museum of Art,40.779434,-73.963402,0.75
World Trade Center,40.712742,-74.013382,0.7
Brooklyn Bridge,40.706086,-73.996864,0.65
Rockefeller Center,40.75874,-73.978674,0.6
Bryant Park,40.753597,-73.983233,0.55
Penn Station,40.750568,-73.993519,0.5
MoMA,40.761433,-73.977622,0.45
Chelsea Market,40.742439,-74.006143,0.4
Washington Square Park,40.730823,-73.997332,0.35
SoHo,40.723301,-74.002988,0.3
Williamsburg,40.708116,-73.95707,0.25
