hotel_name,poi_name,poi_weight,cluster_id,destination_station,hotel_walk_minutes,transit_minutes,poi_walk_minutes,total_trip_minutes,accessibility_score,weighted_score
"The New Yorker, A Wyndham Hotel",Times Square,5.0,0,Times Sq-42 St,1.5,3.07,2.91,7.47,74.16,370.82
"The New Yorker, A Wyndham Hotel",Empire State Building,4.5,1,34 St-Herald Sq,1.5,3.0,2.87,7.37,74.46,335.09
"The New Yorker, A Wyndham Hotel",Grand Central Terminal,4.0,0,Grand Central-42 St,1.5,5.86,1.5,8.86,70.17,280.67
"The New Yorker, A Wyndham Hotel",Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,1.5,5.2,2.77,9.47,68.46,273.85
"The New Yorker, A Wyndham Hotel",MoMA,3.5,0,5 Av/53 St,1.5,7.41,3.03,11.94,62.03,217.11
"The New Yorker, A Wyndham Hotel",Central Park South,4.0,0,57 St,1.5,7.85,2.86,12.21,61.37,245.49
"The New Yorker, A Wyndham Hotel",The High Line,3.5,2,23 St,1.5,3.4,7.69,12.59,60.43,211.49
"The New Yorker, A Wyndham Hotel",SoHo Shopping District,3.0,3,Canal St,1.5,14.48,3.51,19.49,45.86,137.58
"The New Yorker, A Wyndham Hotel",One World Trade Center,4.0,4,WTC Cortlandt,1.5,20.03,1.75,23.28,39.4,157.62
"The New Yorker, A Wyndham Hotel",Wall Street / Charging Bull,3.0,5,Bowling Green,1.5,23.35,1.5,26.35,34.86,104.58
"The New Yorker, A Wyndham Hotel",Brooklyn Bridge Promenade,3.5,6,Fulton St,1.5,20.56,11.18,33.24,26.46,92.6
"The New Yorker, A Wyndham Hotel",DUMBO Waterfront,3.0,7,York St,1.5,23.88,3.0,28.39,32.13,96.39
"The New Yorker, A Wyndham Hotel",Williamsburg Bedford Ave,2.5,8,Bedford Av,1.5,20.83,2.32,24.65,37.3,93.25
"The New Yorker, A Wyndham Hotel",Metropolitan Museum of Art,4.5,9,86 St,1.5,18.44,8.01,27.96,32.68,147.08
"The New Yorker, A Wyndham Hotel",Washington Square Park,3.0,10,W 4 St-Wash Sq,1.5,9.65,3.99,15.14,54.58,163.75
"The New Yorker, A Wyndham Hotel",Hudson Yards / Vessel,2.5,2,34 St-Hudson Yards,1.5,3.45,2.91,7.86,73.02,182.56
Ace Hotel New York,Times Square,5.0,0,Times Sq-42 St,1.5,4.98,2.91,9.38,68.71,343.55
Ace Hotel New York,Empire State Building,4.5,1,34 St-Herald Sq,1.5,3.0,2.87,7.37,74.46,335.09
Ace Hotel New York,Grand Central Terminal,4.0,0,Grand Central-42 St,1.5,5.12,1.5,8.12,72.28,289.13
Ace Hotel New York,Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,1.5,6.68,2.77,10.95,64.54,258.16
Ace Hotel New York,MoMA,3.5,0,5 Av/53 St,1.5,8.35,3.03,12.88,59.74,209.1
Ace Hotel New York,Central Park South,4.0,0,57 St,1.5,9.5,2.86,13.86,57.44,229.77
Ace Hotel New York,The High Line,3.5,2,23 St,1.5,3.31,7.69,12.5,60.65,212.26
Ace Hotel New York,SoHo Shopping District,3.0,3,Canal St,1.5,12.27,3.51,17.28,50.11,150.32
Ace Hotel New York,One World Trade Center,4.0,4,WTC Cortlandt,1.5,17.78,1.75,21.04,43.11,172.43
Ace Hotel New York,Wall Street / Charging Bull,3.0,5,Bowling Green,1.5,21.01,1.5,24.01,38.27,114.81
Ace Hotel New York,Brooklyn Bridge Promenade,3.5,6,Fulton St,1.5,18.0,11.18,30.68,29.31,102.58
Ace Hotel New York,DUMBO Waterfront,3.0,7,York St,1.5,20.61,3.0,25.11,36.63,109.89
Ace Hotel New York,Williamsburg Bedford Ave,2.5,8,Bedford Av,1.5,17.32,2.32,21.15,42.92,107.3
Ace Hotel New York,Metropolitan Museum of Art,4.5,9,86 St,1.5,19.73,8.01,29.24,31.05,139.72
Ace Hotel New York,Washington Square Park,3.0,10,W 4 St-Wash Sq,1.5,7.43,3.99,12.92,59.65,178.95
Ace Hotel New York,Hudson Yards / Vessel,2.5,2,34 St-Hudson Yards,1.5,6.74,2.91,11.15,64.02,160.06
The Plaza Hotel,Times Square,5.0,0,Times Sq-42 St,1.5,6.15,2.91,10.55,65.57,327.84
The Plaza Hotel,Empire State Building,4.5,1,34 St-Herald Sq,1.5,8.8,2.87,13.17,59.06,265.75
The Plaza Hotel,Grand Central Terminal,4.0,0,Grand Central-42 St,1.5,6.21,1.5,9.21,69.18,276.71
The Plaza Hotel,Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,1.5,4.03,2.77,8.3,71.76,287.05
The Plaza Hotel,MoMA,3.5,0,5 Av/53 St,1.5,3.0,3.03,7.53,73.99,258.95
The Plaza Hotel,Central Park South,4.0,0,57 St,1.5,3.0,2.86,7.36,74.5,298.01
The Plaza Hotel,The High Line,3.5,2,23 St,1.5,12.42,7.69,21.61,42.13,147.46
The Plaza Hotel,SoHo Shopping District,3.0,3,Canal St,1.5,22.8,3.51,27.8,32.88,98.65
The Plaza Hotel,One World Trade Center,4.0,4,WTC Cortlandt,1.5,28.3,1.75,31.56,28.3,113.21
The Plaza Hotel,Wall Street / Charging Bull,3.0,5,Bowling Green,1.5,31.51,1.5,34.51,25.15,75.45
The Plaza Hotel,Brooklyn Bridge Promenade,3.5,6,Fulton St,1.5,28.42,11.18,41.1,19.32,67.62
The Plaza Hotel,DUMBO Waterfront,3.0,7,York St,1.5,29.99,3.0,34.5,25.16,75.49
The Plaza Hotel,Williamsburg Bedford Ave,2.5,8,Bedford Av,1.5,22.94,2.32,26.76,34.28,85.71
The Plaza Hotel,Metropolitan Museum of Art,4.5,9,86 St,1.5,9.3,8.01,18.81,47.12,212.06
The Plaza Hotel,Washington Square Park,3.0,10,W 4 St-Wash Sq,1.5,17.95,3.99,23.44,39.16,117.48
The Plaza Hotel,Hudson Yards / Vessel,2.5,2,34 St-Hudson Yards,1.5,10.93,2.91,15.34,54.14,135.35
citizenM New York Bowery,Times Square,5.0,0,Times Sq-42 St,1.5,16.89,2.91,21.3,42.65,213.27
citizenM New York Bowery,Empire State Building,4.5,1,34 St-Herald Sq,1.5,13.84,2.87,18.21,48.27,217.2
citizenM New York Bowery,Grand Central Terminal,4.0,0,Grand Central-42 St,1.5,15.9,1.5,18.9,46.95,187.81
citizenM New York Bowery,Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,1.5,18.47,2.77,22.74,40.27,161.08
citizenM New York Bowery,MoMA,3.5,0,5 Av/53 St,1.5,19.77,3.03,24.3,37.83,132.42
citizenM New York Bowery,Central Park South,4.0,0,57 St,1.5,21.22,2.86,25.58,35.95,143.78
citizenM New York Bowery,The High Line,3.5,2,23 St,1.5,12.06,7.69,21.25,42.75,149.62
citizenM New York Bowery,SoHo Shopping District,3.0,3,Canal St,1.5,4.54,3.51,9.54,68.26,204.79
citizenM New York Bowery,One World Trade Center,4.0,4,WTC Cortlandt,1.5,7.58,1.75,10.83,64.84,259.38
citizenM New York Bowery,Wall Street / Charging Bull,3.0,5,Bowling Green,1.5,10.15,1.5,13.15,59.1,177.29
citizenM New York Bowery,Brooklyn Bridge Promenade,3.5,6,Fulton St,1.5,6.77,11.18,19.45,45.93,160.75
citizenM New York Bowery,DUMBO Waterfront,3.0,7,York St,1.5,9.18,3.0,13.68,57.86,173.58
citizenM New York Bowery,Williamsburg Bedford Ave,2.5,8,Bedford Av,1.5,13.19,2.32,17.01,50.65,126.62
citizenM New York Bowery,Metropolitan Museum of Art,4.5,9,86 St,1.5,30.8,8.01,40.31,19.94,89.73
citizenM New York Bowery,Washington Square Park,3.0,10,W 4 St-Wash Sq,1.5,6.09,3.99,11.58,62.93,188.78
citizenM New York Bowery,Hudson Yards / Vessel,2.5,2,34 St-Hudson Yards,1.5,16.87,2.91,21.28,42.7,106.74
Moxy NYC Times Square,Times Square,5.0,0,Times Sq-42 St,2.3,3.0,2.91,8.21,72.01,360.07
Moxy NYC Times Square,Empire State Building,4.5,1,34 St-Herald Sq,2.3,3.0,2.87,8.17,72.12,324.52
Moxy NYC Times Square,Grand Central Terminal,4.0,0,Grand Central-42 St,2.3,4.0,1.5,7.8,73.19,292.78
Moxy NYC Times Square,Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,2.3,4.77,2.77,9.84,67.47,269.88
Moxy NYC Times Square,MoMA,3.5,0,5 Av/53 St,2.3,6.61,3.03,11.94,62.02,217.08
Moxy NYC Times Square,Central Park South,4.0,0,57 St,2.3,7.6,2.86,12.76,60.02,240.1
Moxy NYC Times Square,The High Line,3.5,2,23 St,2.3,4.03,7.69,14.02,57.07,199.76
Moxy NYC Times Square,SoHo Shopping District,3.0,3,Canal St,2.3,14.14,3.51,19.95,45.02,135.05
Moxy NYC Times Square,One World Trade Center,4.0,4,WTC Cortlandt,2.3,19.68,1.75,23.74,38.69,154.78
Moxy NYC Times Square,Wall Street / Charging Bull,3.0,5,Bowling Green,2.3,22.93,1.5,26.74,34.32,102.96
Moxy NYC Times Square,Brooklyn Bridge Promenade,3.5,6,Fulton St,2.3,19.96,11.18,33.44,26.24,91.86
Moxy NYC Times Square,DUMBO Waterfront,3.0,7,York St,2.3,22.57,3.0,27.87,32.79,98.38
Moxy NYC Times Square,Williamsburg Bedford Ave,2.5,8,Bedford Av,2.3,18.69,2.32,23.31,39.36,98.41
Moxy NYC Times Square,Metropolitan Museum of Art,4.5,9,86 St,2.3,17.98,8.01,28.29,32.25,145.11
Moxy NYC Times Square,Washington Square Park,3.0,10,W 4 St-Wash Sq,2.3,9.27,3.99,15.56,53.66,160.99
Moxy NYC Times Square,Hudson Yards / Vessel,2.5,2,34 St-Hudson Yards,2.3,5.76,2.91,10.97,64.49,161.23
New York Marriott Marquis,Times Square,5.0,0,Times Sq-42 St,2.84,3.0,2.91,8.74,70.48,352.42
New York Marriott Marquis,Empire State Building,4.5,1,34 St-Herald Sq,2.84,5.01,2.87,10.72,65.13,293.08
New York Marriott Marquis,Grand Central Terminal,4.0,0,Grand Central-42 St,2.84,4.59,1.5,8.93,69.97,279.9
New York Marriott Marquis,Rockefeller Center,4.0,0,47-50 Sts-Rockefeller Ctr,2.84,3.0,2.77,8.61,70.87,283.5
New York Marriott Marquis,MoMA,3.5,0,5 Av/53 St,2.84,3.16,3.03,9.03,69.69,243.93
