hotel_name,lat,lon,hotel_access_score,nearest_station,walk_time_mins,top_clusters
Ace Hotel New York,40.7458,-73.9881,54.14,28 St,1.5,"[{'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 74.46423406719053, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 7.37128138781819, 'accessibility_score': 74.46423406719053, 'weighted_score': 335.0890533023574, 'cluster_id': 1}]}, {'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 64.86310685518596, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 4.97540525076593, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 9.382079181217, 'accessibility_score': 68.70946885289445, 'weighted_score': 343.54734426447226, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 5.115104397561037, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 8.115104397561037, 'accessibility_score': 72.28134039888643, 'weighted_score': 289.1253615955457, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 1.5, 'transit_minutes': 6.678959489521029, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 10.947330581006458, 'accessibility_score': 64.53946923322655, 'weighted_score': 258.1578769329062, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 8.346087326818399, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 12.878303076214031, 'accessibility_score': 59.74216562330642, 'weighted_score': 209.09757968157248, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 9.501804276901977, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 13.860130035042534, 'accessibility_score': 57.4413820142039, 'weighted_score': 229.7655280568156, 'cluster_id': 0}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 62.05225448141343, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.3138112870321446, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 12.503268138354919, 'accessibility_score': 60.64513758504613, 'weighted_score': 212.25798154766144, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 1.5, 'transit_minutes': 6.738584150076688, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 11.14850011234569, 'accessibility_score': 64.02221813632765, 'weighted_score': 160.05554534081912, 'cluster_id': 2}]}]"
"The New Yorker, A Wyndham Hotel",40.7527,-73.9931,54.09,34 St-Penn Station,1.5,"[{'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 74.46423406719053, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 7.37128138781819, 'accessibility_score': 74.46423406719053, 'weighted_score': 335.0890533023574, 'cluster_id': 1}]}, {'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 67.70399905215524, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.065823224185179, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 7.472497154636249, 'accessibility_score': 74.16336534925703, 'weighted_score': 370.8168267462852, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 5.857556624143264, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 8.857556624143264, 'accessibility_score': 70.16628472022997, 'weighted_score': 280.66513888091987, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 1.5, 'transit_minutes': 5.203401929585894, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 9.471773021071321, 'accessibility_score': 68.46339789399893, 'weighted_score': 273.8535915759957, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 7.40590729634417, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 11.9381230457398, 'accessibility_score': 62.03168259733081, 'weighted_score': 217.11088909065782, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 7.847337370148651, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 12.205663128289208, 'accessibility_score': 61.37138356883095, 'weighted_score': 245.4855342753238, 'cluster_id': 0}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 65.67524378580387, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.4040152602243507, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 12.593472111547126, 'accessibility_score': 60.426714579873085, 'weighted_score': 211.4935010295558, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.4499139624289614, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 7.859829924697964, 'accessibility_score': 73.02318467410697, 'weighted_score': 182.55796168526743, 'cluster_id': 2}]}]"
Moxy NYC Times Square,40.7512,-73.9888,53.09,34 St-Herald Sq,2.3,"[{'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 72.115508036967, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 8.172526854014608, 'accessibility_score': 72.115508036967, 'weighted_score': 324.5197861663515, 'cluster_id': 1}]}, {'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 67.31238505586921, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 8.207919396647489, 'accessibility_score': 72.01348622252718, 'weighted_score': 360.06743111263586, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 3.9999565570228435, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 7.801202023219261, 'accessibility_score': 73.19463347226676, 'weighted_score': 292.77853388906703, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 4.767140111990428, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 9.836756669672273, 'accessibility_score': 67.47113786158387, 'weighted_score': 269.8845514463355, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 6.608708249428828, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 11.942169465020879, 'accessibility_score': 62.02164316196804, 'weighted_score': 217.07575106688816, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 7.600902048998807, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 12.760473273335782, 'accessibility_score': 60.02440653259809, 'weighted_score': 240.09762613039237, 'cluster_id': 0}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 60.16397484224243, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 4.029997523606622, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 14.020699841125815, 'accessibility_score': 57.07363021228249, 'weighted_score': 199.75770574298872, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 2.3012454661964177, 'transit_minutes': 5.7551616113857085, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 10.966323039851128, 'accessibility_score': 64.49045732418635, 'weighted_score': 161.2261433104659, 'cluster_id': 2}]}]"
New York Marriott Marquis,40.7585,-73.9861,50.54,49 St,2.84,"[{'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 70.33286796870063, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 8.744720350194381, 'accessibility_score': 70.48369256876323, 'weighted_score': 352.41846284381614, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 4.588171680669728, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 8.926218100413038, 'accessibility_score': 69.9738402838497, 'weighted_score': 279.8953611353988, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 8.60641751122874, 'accessibility_score': 70.87469690307454, 'weighted_score': 283.49878761229814, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 3.1560745015228213, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 9.026336670661763, 'accessibility_score': 69.69417342079178, 'weighted_score': 243.92960697277124, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 3.035333964156436, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 8.731706142040304, 'accessibility_score': 70.52039369851958, 'weighted_score': 282.08157479407834, 'cluster_id': 0}]}, {'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 65.1282711862013, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 5.010958638172264, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 10.720286445733766, 'accessibility_score': 65.1282711862013, 'weighted_score': 293.0772203379059, 'cluster_id': 1}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 53.06806504796524, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 8.179725714250043, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 18.707228985316128, 'accessibility_score': 47.31753883086249, 'weighted_score': 165.61138590801872, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 2.8380464197433115, 'transit_minutes': 6.56080377214827, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 12.308766154160583, 'accessibility_score': 61.11880175190908, 'weighted_score': 152.79700437977272, 'cluster_id': 2}]}]"
The Plaza Hotel,40.7645,-73.9744,49.44,5 Av/59 St,1.5,"[{'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 70.66175414967844, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 6.1451821048868345, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 10.551856035337904, 'accessibility_score': 65.56853585785551, 'weighted_score': 327.84267928927756, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 6.212302046599495, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 9.212302046599495, 'accessibility_score': 69.17766871583349, 'weighted_score': 276.71067486333396, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 1.5, 'transit_minutes': 4.026936295074488, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 8.295307386559916, 'accessibility_score': 71.76220111210199, 'weighted_score': 287.04880444840796, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.0, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 7.532215749395632, 'accessibility_score': 73.98641949410121, 'weighted_score': 258.9524682293542, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 7.358325758140557, 'accessibility_score': 74.5028333095086, 'weighted_score': 298.0113332380344, 'cluster_id': 0}]}, {'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 59.05543937172484, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 1.5, 'transit_minutes': 8.796056934911904, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 13.167338322730094, 'accessibility_score': 59.05543937172484, 'weighted_score': 265.7494771727618, 'cluster_id': 1}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 47.133907145952605, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 12.42048480633593, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 21.609941657658705, 'accessibility_score': 42.130524255956, 'weighted_score': 147.456834895846, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 1.5, 'transit_minutes': 10.930633118175592, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 15.340549080444594, 'accessibility_score': 54.13864319194784, 'weighted_score': 135.34660797986962, 'cluster_id': 2}]}]"
Lotte New York Palace,40.758,-73.9752,48.92,5 Av/53 St,3.01,"[{'cluster_id': 0, 'cluster_name': 'Cluster 1', 'poi_count': 5, 'total_weight': 20.5, 'accessibility_score': 69.38159472570442, 'poi_details': [{'poi_index': 0, 'poi_name': 'Times Square', 'weight': 5.0, 'station': 'Times Sq-42 St', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 4.355930877704042, 'poi_walk_minutes': 2.90667393045107, 'total_trip_minutes': 10.274707528548944, 'accessibility_score': 66.29946878360936, 'weighted_score': 331.4973439180468, 'cluster_id': 0}, {'poi_index': 2, 'poi_name': 'Grand Central Terminal', 'weight': 4.0, 'station': 'Grand Central-42 St', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 3.960649215384809, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 8.472751935778641, 'accessibility_score': 71.25465202219547, 'weighted_score': 285.0186080887819, 'cluster_id': 0}, {'poi_index': 3, 'poi_name': 'Rockefeller Center', 'weight': 4.0, 'station': '47-50 Sts-Rockefeller Ctr', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.7683710914854283, 'total_trip_minutes': 8.780473811879261, 'accessibility_score': 70.38296317435591, 'weighted_score': 281.53185269742363, 'cluster_id': 0}, {'poi_index': 4, 'poi_name': 'MoMA', 'weight': 3.5, 'station': '5 Av/53 St', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 3.0, 'poi_walk_minutes': 3.0322157493956317, 'total_trip_minutes': 9.044318469789463, 'accessibility_score': 69.64406237961278, 'weighted_score': 243.75421832864473, 'cluster_id': 0}, {'poi_index': 5, 'poi_name': 'Central Park South', 'weight': 4.0, 'station': '57 St', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 3.0, 'poi_walk_minutes': 2.858325758140557, 'total_trip_minutes': 8.87042847853439, 'accessibility_score': 70.13016721101084, 'weighted_score': 280.52066884404337, 'cluster_id': 0}]}, {'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 60.47180115614731, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 6.6914415468050565, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 12.57482565501708, 'accessibility_score': 60.47180115614731, 'weighted_score': 272.1231052026629, 'cluster_id': 1}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 47.36558185493843, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 10.465115621723498, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 21.166675193440106, 'accessibility_score': 42.884187929099255, 'weighted_score': 150.0946577518474, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 3.012102720393832, 'transit_minutes': 9.650076998740419, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 15.572095681403253, 'accessibility_score': 53.6395333511133, 'weighted_score': 134.09883337778325, 'cluster_id': 2}]}]"
citizenM New York Bowery,40.7196,-73.9935,46.83,Bowery,1.5,"[{'cluster_id': 3, 'cluster_name': 'SoHo Shopping District', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 68.26360052662301, 'poi_details': [{'poi_index': 7, 'poi_name': 'SoHo Shopping District', 'weight': 3.0, 'station': 'Canal St', 'hotel_walk_minutes': 1.5, 'transit_minutes': 4.537641256217085, 'poi_walk_minutes': 3.5071961602907944, 'total_trip_minutes': 9.544837416507878, 'accessibility_score': 68.26360052662301, 'weighted_score': 204.79080157986903, 'cluster_id': 3}]}, {'cluster_id': 4, 'cluster_name': 'One World Trade Center', 'poi_count': 1, 'total_weight': 4.0, 'accessibility_score': 64.84388374058918, 'poi_details': [{'poi_index': 8, 'poi_name': 'One World Trade Center', 'weight': 4.0, 'station': 'WTC Cortlandt', 'hotel_walk_minutes': 1.5, 'transit_minutes': 7.575823416074613, 'poi_walk_minutes': 1.753866424417249, 'total_trip_minutes': 10.829689840491861, 'accessibility_score': 64.84388374058918, 'weighted_score': 259.3755349623567, 'cluster_id': 4}]}, {'cluster_id': 10, 'cluster_name': 'Washington Square Park', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 62.92512390773837, 'poi_details': [{'poi_index': 14, 'poi_name': 'Washington Square Park', 'weight': 3.0, 'station': 'W 4 St-Wash Sq', 'hotel_walk_minutes': 1.5, 'transit_minutes': 6.093861085583064, 'poi_walk_minutes': 3.9867558102905836, 'total_trip_minutes': 11.580616895873646, 'accessibility_score': 62.92512390773837, 'weighted_score': 188.7753717232151, 'cluster_id': 10}]}]"
Arlo SoHo,40.7258,-74.0076,43.35,Spring St,4.11,"[{'cluster_id': 3, 'cluster_name': 'SoHo Shopping District', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 65.39724274725097, 'poi_details': [{'poi_index': 7, 'poi_name': 'SoHo Shopping District', 'weight': 3.0, 'station': 'Canal St', 'hotel_walk_minutes': 4.110056045750599, 'transit_minutes': 3.0, 'poi_walk_minutes': 3.5071961602907944, 'total_trip_minutes': 10.617252206041393, 'accessibility_score': 65.39724274725097, 'weighted_score': 196.1917282417529, 'cluster_id': 3}]}, {'cluster_id': 10, 'cluster_name': 'Washington Square Park', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 63.95942152836839, 'poi_details': [{'poi_index': 14, 'poi_name': 'Washington Square Park', 'weight': 3.0, 'station': 'W 4 St-Wash Sq', 'hotel_walk_minutes': 4.110056045750599, 'transit_minutes': 3.0762217023375995, 'poi_walk_minutes': 3.9867558102905836, 'total_trip_minutes': 11.173033558378782, 'accessibility_score': 63.959421528368395, 'weighted_score': 191.87826458510517, 'cluster_id': 10}]}, {'cluster_id': 4, 'cluster_name': 'One World Trade Center', 'poi_count': 1, 'total_weight': 4.0, 'accessibility_score': 58.92982387301494, 'poi_details': [{'poi_index': 8, 'poi_name': 'One World Trade Center', 'weight': 4.0, 'station': 'WTC Cortlandt', 'hotel_walk_minutes': 4.110056045750599, 'transit_minutes': 7.356649427128296, 'poi_walk_minutes': 1.753866424417249, 'total_trip_minutes': 13.220571897296145, 'accessibility_score': 58.92982387301494, 'weighted_score': 235.71929549205976, 'cluster_id': 4}]}]"
"The Standard, High Line",40.7408,-74.0079,42.8,8 Av,5.78,"[{'cluster_id': 10, 'cluster_name': 'Washington Square Park', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 58.69469202727307, 'poi_details': [{'poi_index': 14, 'poi_name': 'Washington Square Park', 'weight': 3.0, 'station': 'W 4 St-Wash Sq', 'hotel_walk_minutes': 5.782273218651782, 'transit_minutes': 3.5514931878683007, 'poi_walk_minutes': 3.9867558102905836, 'total_trip_minutes': 13.320522216810666, 'accessibility_score': 58.694692027273064, 'weighted_score': 176.0840760818192, 'cluster_id': 10}]}, {'cluster_id': 1, 'cluster_name': 'Empire State Building', 'poi_count': 1, 'total_weight': 4.5, 'accessibility_score': 53.66645168786801, 'poi_details': [{'poi_index': 1, 'poi_name': 'Empire State Building', 'weight': 4.5, 'station': '34 St-Herald Sq', 'hotel_walk_minutes': 5.782273218651782, 'transit_minutes': 6.905998280927161, 'poi_walk_minutes': 2.8712813878181898, 'total_trip_minutes': 15.559552887397132, 'accessibility_score': 53.66645168786801, 'weighted_score': 241.49903259540605, 'cluster_id': 1}]}, {'cluster_id': 2, 'cluster_name': 'Cluster 3', 'poi_count': 2, 'total_weight': 6.0, 'accessibility_score': 51.62586479756004, 'poi_details': [{'poi_index': 6, 'poi_name': 'The High Line', 'weight': 3.5, 'station': '23 St', 'hotel_walk_minutes': 5.782273218651782, 'transit_minutes': 3.2818087388829635, 'poi_walk_minutes': 7.689456851322775, 'total_trip_minutes': 16.75353880885752, 'accessibility_score': 51.16361493589691, 'weighted_score': 179.07265227563917, 'cluster_id': 2}, {'poi_index': 15, 'poi_name': 'Hudson Yards / Vessel', 'weight': 2.5, 'station': '34 St-Hudson Yards', 'hotel_walk_minutes': 5.782273218651782, 'transit_minutes': 7.5250588499336875, 'poi_walk_minutes': 2.9099159622690025, 'total_trip_minutes': 16.217248030854474, 'accessibility_score': 52.273014603888434, 'weighted_score': 130.68253650972107, 'cluster_id': 2}]}]"
Conrad New York Downtown,40.7152,-74.0152,36.29,WTC Cortlandt,5.65,"[{'cluster_id': 4, 'cluster_name': 'One World Trade Center', 'poi_count': 1, 'total_weight': 4.0, 'accessibility_score': 65.95248430788222, 'poi_details': [{'poi_index': 8, 'poi_name': 'One World Trade Center', 'weight': 4.0, 'station': 'WTC Cortlandt', 'hotel_walk_minutes': 5.652024524787241, 'transit_minutes': 3.0, 'poi_walk_minutes': 1.753866424417249, 'total_trip_minutes': 10.405890949204489, 'accessibility_score': 65.95248430788222, 'weighted_score': 263.80993723152886, 'cluster_id': 4}]}, {'cluster_id': 5, 'cluster_name': 'Wall Street / Charging Bull', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 65.71454322625135, 'poi_details': [{'poi_index': 9, 'poi_name': 'Wall Street / Charging Bull', 'weight': 3.0, 'station': 'Bowling Green', 'hotel_walk_minutes': 5.652024524787241, 'transit_minutes': 3.344223647902639, 'poi_walk_minutes': 1.5, 'total_trip_minutes': 10.49624817268988, 'accessibility_score': 65.71454322625135, 'weighted_score': 197.14362967875405, 'cluster_id': 5}]}, {'cluster_id': 3, 'cluster_name': 'SoHo Shopping District', 'poi_count': 1, 'total_weight': 3.0, 'accessibility_score': 55.51172029796454, 'poi_details': [{'poi_index': 7, 'poi_name': 'SoHo Shopping District', 'weight': 3.0, 'station': 'Canal St', 'hotel_walk_minutes': 5.652024524787241, 'transit_minutes': 5.555179589682654, 'poi_walk_minutes': 3.5071961602907944, 'total_trip_minutes': 14.71440027476069, 'accessibility_score': 55.51172029796454, 'weighted_score': 166.53516089389362, 'cluster_id': 3}]}]"
