poi_name,category,lat,lon,weight
Times Square,Entertainment,40.7580,-73.9855,3.0
Rockefeller Center,Sightseeing,40.7587,-73.9787,2.5
Bryant Park,Park,40.7536,-73.9832,2.0
Empire State Building,Sightseeing,40.7484,-73.9857,3.0
Central Park South,Park,40.7651,-73.9760,2.5
The Metropolitan Museum of Art,Culture,40.7794,-73.9632,2.5
One World Trade Center,Sightseeing,40.7127,-74.0134,2.5
9/11 Memorial & Museum,Culture,40.7115,-74.0132,2.0
High Line Park,Park,40.7480,-74.0048,2.0
Brooklyn Bridge,Landmark,40.7061,-73.9969,2.0
Rockaway Beach,Park,40.5860,-73.8120,2.0
Queens County Farm Museum,Culture,40.7390,-73.7240,2.0
Conference House,Historic,40.5031,-74.2532,2.0
